"id_concept","id_dico","lib","type","id_sub","sEli","sPre","genre","s","p","id_adj","aEli","aPre","m_s","f_s","m_p","f_p","id_verbe","id_conj","vEli","vPre","id_gen","valeur","id_syn","num","ordre","syLib"
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59010","1","énervé",,"e","s","es",NULL,NULL,NULL,NULL,"254239","[a_agacé]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59010","1","énervé",,"e","s","es",NULL,NULL,NULL,NULL,"254240","[a_fâché]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59011","0","courroucé",,"e","s","es",NULL,NULL,NULL,NULL,"254239","[a_agacé]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59011","0","courroucé",,"e","s","es",NULL,NULL,NULL,NULL,"254240","[a_fâché]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59012","0","contrarié",,"e","s","es",NULL,NULL,NULL,NULL,"254239","[a_agacé]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59012","0","contrarié",,"e","s","es",NULL,NULL,NULL,NULL,"254240","[a_fâché]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59013","1","exaspéré",,"e","s","es",NULL,NULL,NULL,NULL,"254239","[a_agacé]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59013","1","exaspéré",,"e","s","es",NULL,NULL,NULL,NULL,"254240","[a_fâché]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59014","0","indisposé",,"e","s","es",NULL,NULL,NULL,NULL,"254239","[a_agacé]",NULL,NULL,NULL,NULL
"166717","34","irrité 1","a",NULL,NULL,NULL,NULL,NULL,NULL,"59014","0","indisposé",,"e","s","es",NULL,NULL,NULL,NULL,"254240","[a_fâché]",NULL,NULL,NULL,NULL
